0001 NaturalPiano 0 4 1
0002 SuperiorPian 47 4 1
0003 ClassicPiano 0 4 2
0004 UprightPiano 1 4 1
0831 Helicopter 0 4 126
0832 Seashore 0 4 123
0833 Horse-Gallop 2 4 124
0834 Bird 1 0 4 124
0835 Breath Noise 0 4 122
0836 Wind 1 3 4 123
0837 DoorCreaking 2 4 125
0838 Starship 8 4 126
0839 Door 3 4 125
0840 White Noise 17 4 123
0841 Winds Hit 47 4 123
0842 Scratch 1 4 4 125
0843 TapeRewind 9 4 125
0844 Applause 1 0 4 127
0845 Applause 2 6 4 127
0846 ApplauseWave 8 4 127
0847 Voice Tah 19 4 127
0848 Voice Aou 24 4 127
0849 Voice Kikit 22 4 127
0850 Key Typing 21 4 126
0851 Heart Beat 4 4 127
0852 NewPop 111 4 4
0853 NewRock 111 4 18
0854 NewBrushPop 111 4 45
0855 NewFolk 111 4 8
0856 NewPopPerc 111 4 47
0857 NewPBrshPerc 111 4 46
0858 V-JazzBrush 111 4 44
0859 Brush 111 4 41
0860 Brush 2 111 4 42
0861 Brush 2 L/R 111 4 43
0862 Jazz 111 4 33
0863 Jazz L/R 111 4 34
0864 Standard 1 111 4 1
0865 Standard 2 111 4 2
0866 Standard L/R 111 4 3
0867 Room 111 4 9
0868 Hip Hop 111 4 10
0869 Jungle 111 4 11
0870 Techno 111 4 12
0871 House 111 4 14
0872 Power 111 4 17
0873 Electronic 111 4 25
0874 909 808 Kit 111 5 15
0875 TR-707 111 4 30
0876 TR-808 111 4 26
0877 TR-909 111 4 31
0878 Dance 111 4 27
0879 CR-78 111 4 28
0880 Orchestra 111 4 49
0881 Ethnic 111 4 50
0882 Multi Drum 111 4 32
0883 StandardKit1 111 5 4
0884 StandardKit3 111 5 5
0885 Kit-Euro:POP 111 5 6
0886 WD Std Kit 111 5 1
0887 LD Std Kit 111 5 2
0888 TY Std Kit 111 5 3
0889 LatinDrmKit 111 5 7
0890 Latin Menu1 111 5 8
0891 Latin Menu2 111 5 9
0892 Latin Menu3 111 5 10
0893 Asia Menu 111 5 13
0894 India Menu 111 5 14
0895 IndiaDrmKit 111 5 11
0896 MidEastDrKit 111 5 12
0897 Or. R&B 111 4 65
0898 Oriental 1 111 1 117
0899 Oriental 2 111 2 117
0900 Oriental 3 111 3 117
0901 Oriental 4 111 4 117
0902 Greek 1 111 4 118
0903 Greek 2 111 4 119
0904 SFX 111 4 57
